20181101 021500;0.936410;0.936420;0.936330;0.936390;0
20181101 021600;0.936420;0.936450;0.936310;0.936400;0
20181101 021700;0.936430;0.936510;0.936420;0.936430;0
20181101 021800;0.936430;0.936440;0.936390;0.936430;0
20181101 021900;0.936420;0.936440;0.936350;0.936400;0
20181101 022000;0.936390;0.936440;0.936390;0.936400;0
20181101 022100;0.936410;0.936440;0.936380;0.936420;0
20181101 022200;0.936420;0.936590;0.936400;0.936520;0
20181101 022300;0.936510;0.936560;0.936500;0.936560;0
20181101 022400;0.936550;0.936610;0.936520;0.936610;0
20181101 022500;0.936620;0.936680;0.936510;0.936510;0
20181101 022600;0.936500;0.936530;0.936440;0.936510;0
20181101 022700;0.936510;0.936650;0.936510;0.936590;0
20181101 022800;0.936590;0.936650;0.936560;0.936580;0
20181101 022900;0.936560;0.936660;0.936560;0.936640;0
20181101 023000;0.936650;0.936660;0.936600;0.936620;0
20181101 023100;0.936660;0.936810;0.936660;0.936780;0
20181101 023200;0.936800;0.936820;0.936650;0.936680;0
20181101 023300;0.936700;0.936700;0.936550;0.936660;0
20181101 023400;0.936660;0.936660;0.936570;0.936640;0
20181101 023500;0.936600;0.936680;0.936600;0.936630;0
20181101 023600;0.936620;0.936750;0.936590;0.936700;0
20181101 023700;0.936700;0.936810;0.936630;0.936810;0
20181101 023800;0.936830;0.936960;0.936710;0.936810;0
20181101 023900;0.936820;0.936910;0.936800;0.936800;0
20181101 024000;0.936830;0.937050;0.936800;0.937040;0
20181101 024100;0.937020;0.937160;0.937000;0.937150;0
20181101 024200;0.937130;0.937160;0.937120;0.937130;0
20181101 024300;0.937140;0.937140;0.937040;0.937040;0
20181101 024400;0.937010;0.937020;0.936870;0.936880;0
20181101 024500;0.936880;0.936930;0.936870;0.936880;0
20181101 024600;0.936900;0.937150;0.936890;0.937090;0
20181101 024700;0.937080;0.937100;0.936760;0.936870;0
20181101 024800;0.936880;0.936930;0.936840;0.936890;0
20181101 024900;0.936850;0.936870;0.936630;0.936670;0
20181101 025000;0.936660;0.936830;0.936650;0.936790;0
20181101 025100;0.936800;0.936860;0.936700;0.936790;0
20181101 025200;0.936780;0.936920;0.936750;0.936890;0
20181101 025300;0.936890;0.936970;0.936880;0.936900;0
20181101 025400;0.936910;0.937200;0.936910;0.937200;0
20181101 025500;0.937190;0.937310;0.937140;0.937170;0
20181101 025600;0.937160;0.937190;0.937060;0.937180;0
20181101 025700;0.937170;0.937260;0.937170;0.937230;0
20181101 025800;0.937220;0.937240;0.937220;0.937230;0
20181101 025900;0.937240;0.937340;0.937230;0.937330;0
20181101 030000;0.937310;0.937470;0.937230;0.937470;0
20181101 030100;0.937450;0.937600;0.937400;0.937570;0
20181101 030200;0.937570;0.937580;0.937340;0.937400;0
20181101 030300;0.937410;0.937790;0.937410;0.937690;0
20181101 030400;0.937700;0.937830;0.937660;0.937660;0
20181101 030500;0.937670;0.938000;0.937620;0.937960;0
20181101 030600;0.937940;0.938070;0.937920;0.937970;0
20181101 030700;0.937960;0.938070;0.937880;0.937910;0
20181101 030800;0.937940;0.937940;0.937690;0.937870;0
20181101 030900;0.937860;0.938070;0.937810;0.937950;0
20181101 031000;0.937960;0.938020;0.937910;0.937990;0
20181101 031100;0.937990;0.938150;0.937990;0.938060;0
20181101 031200;0.938060;0.938210;0.938040;0.938160;0
20181101 031300;0.938150;0.938210;0.938000;0.938080;0
20181101 031400;0.938070;0.938180;0.937990;0.938170;0
20181101 031500;0.938150;0.938210;0.938030;0.938030;0
20181101 031600;0.938050;0.938220;0.938010;0.938220;0
20181101 031700;0.938210;0.938220;0.938060;0.938080;0
20181101 031800;0.938060;0.938080;0.937960;0.937990;0
20181101 031900;0.937980;0.938010;0.937890;0.938010;0
20181101 032000;0.938020;0.938230;0.937980;0.938230;0
20181101 032100;0.938220;0.938290;0.938140;0.938230;0
20181101 032200;0.938220;0.938300;0.938110;0.938190;0
20181101 032300;0.938180;0.938230;0.938080;0.938090;0
20181101 032400;0.938080;0.938330;0.938030;0.938230;0
20181101 032500;0.938230;0.938350;0.938160;0.938320;0
20181101 032600;0.938330;0.938440;0.938290;0.938360;0
20181101 032700;0.938380;0.938390;0.938110;0.938110;0
20181101 032800;0.938140;0.938320;0.938110;0.938210;0
20181101 032900;0.938200;0.938420;0.938200;0.938310;0
20181101 033000;0.938300;0.938430;0.938220;0.938410;0
20181101 033100;0.938400;0.938400;0.938190;0.938290;0
20181101 033200;0.938300;0.938330;0.938160;0.938160;0
20181101 033300;0.938140;0.938170;0.937810;0.937810;0
20181101 033400;0.937840;0.937920;0.937800;0.937900;0
20181101 033500;0.937910;0.937970;0.937840;0.937870;0
20181101 033600;0.937890;0.937990;0.937820;0.937840;0
20181101 033700;0.937830;0.937860;0.937690;0.937850;0
20181101 033800;0.937840;0.937890;0.937690;0.937690;0
20181101 033900;0.937700;0.937770;0.937660;0.937750;0
20181101 034000;0.937760;0.937820;0.937660;0.937710;0
20181101 034100;0.937710;0.937740;0.937600;0.937670;0
20181101 034200;0.937640;0.937660;0.937540;0.937660;0
20181101 034300;0.937600;0.937710;0.937580;0.937670;0
20181101 034400;0.937690;0.937750;0.937600;0.937620;0
20181101 034500;0.937600;0.937610;0.937510;0.937510;0
20181101 034600;0.937490;0.937510;0.937460;0.937470;0
20181101 034700;0.937500;0.937510;0.937310;0.937340;0
20181101 034800;0.937350;0.937400;0.937270;0.937380;0
20181101 034900;0.937370;0.937580;0.937370;0.937580;0
20181101 035000;0.937590;0.937760;0.937570;0.937700;0
20181101 035100;0.937690;0.937760;0.937630;0.937700;0
20181101 035200;0.937740;0.937740;0.937570;0.937690;0
20181101 035300;0.937690;0.937690;0.937460;0.937500;0
20181101 035400;0.937550;0.937590;0.937410;0.937570;0
20181101 035500;0.937560;0.937770;0.937530;0.937590;0
20181101 035600;0.937620;0.937740;0.937590;0.937730;0
20181101 035700;0.937750;0.937840;0.937750;0.937760;0
20181101 035800;0.937750;0.937850;0.937720;0.937750;0
20181101 035900;0.937760;0.937940;0.937760;0.937880;0
20181101 040000;0.937860;0.937870;0.937730;0.937730;0
20181101 040100;0.937700;0.937750;0.937570;0.937600;0
20181101 040200;0.937640;0.937670;0.937580;0.937650;0
20181101 040300;0.937610;0.937700;0.937590;0.937690;0
20181101 040400;0.937680;0.937780;0.937680;0.937750;0
20181101 040500;0.937740;0.937740;0.937580;0.937660;0
20181101 040600;0.937660;0.937740;0.937660;0.937680;0
20181101 040700;0.937660;0.937720;0.937650;0.937720;0
20181101 040800;0.937710;0.937730;0.937370;0.937430;0
20181101 040900;0.937430;0.937610;0.937420;0.937610;0
20181101 041000;0.937610;0.937660;0.937540;0.937640;0
20181101 041100;0.937640;0.937710;0.937520;0.937580;0
20181101 041200;0.937580;0.937580;0.937360;0.937490;0
20181101 041300;0.937470;0.937480;0.937090;0.937100;0
20181101 041400;0.937100;0.937230;0.937090;0.937090;0
20181101 041500;0.937090;0.937210;0.937070;0.937190;0
20181101 041600;0.937170;0.937250;0.937080;0.937250;0
20181101 041700;0.937250;0.937450;0.937210;0.937330;0
20181101 041800;0.937330;0.937370;0.937150;0.937240;0
20181101 041900;0.937230;0.937240;0.936900;0.937110;0
20181101 042000;0.937110;0.937170;0.936980;0.937140;0
20181101 042100;0.937150;0.937250;0.937100;0.937130;0
20181101 042200;0.937130;0.937230;0.937130;0.937200;0
20181101 042300;0.937220;0.937370;0.937220;0.937370;0
20181101 042400;0.937340;0.937340;0.937260;0.937280;0
20181101 042500;0.937290;0.937290;0.937170;0.937170;0
20181101 042600;0.937220;0.937300;0.937160;0.937160;0
20181101 042700;0.937170;0.937290;0.937170;0.937280;0
20181101 042800;0.937270;0.937410;0.937270;0.937320;0
20181101 042900;0.937330;0.937850;0.937260;0.937850;0
20181101 043000;0.937840;0.937880;0.937750;0.937750;0
20181101 043100;0.937740;0.937910;0.937740;0.937880;0
20181101 043200;0.937890;0.937900;0.937730;0.937830;0
20181101 043300;0.937820;0.937870;0.937790;0.937870;0
20181101 043400;0.937850;0.937890;0.937810;0.937870;0
20181101 043500;0.937870;0.937920;0.937850;0.937860;0
20181101 043600;0.937850;0.937920;0.937830;0.937870;0
20181101 043700;0.937870;0.938000;0.937850;0.937950;0
20181101 043800;0.937930;0.938010;0.937920;0.937950;0
20181101 043900;0.937930;0.937930;0.937850;0.937890;0
20181101 044000;0.937880;0.937970;0.937850;0.937970;0
20181101 044100;0.937960;0.937970;0.937850;0.937950;0
20181101 044200;0.937950;0.937990;0.937910;0.937910;0
20181101 044300;0.937920;0.937940;0.937770;0.937790;0
20181101 044400;0.937790;0.937810;0.937680;0.937710;0
20181101 044500;0.937680;0.937830;0.937660;0.937820;0
20181101 044600;0.937790;0.937800;0.937740;0.937770;0
20181101 044700;0.937770;0.937840;0.937700;0.937830;0
20181101 044800;0.937830;0.937910;0.937790;0.937850;0
20181101 044900;0.937860;0.937870;0.937800;0.937830;0
20181101 045000;0.937840;0.938100;0.937840;0.938060;0
20181101 045100;0.938050;0.938070;0.937960;0.938070;0
20181101 045200;0.938060;0.938110;0.938000;0.938010;0
20181101 045300;0.938000;0.938040;0.937960;0.937980;0
20181101 045400;0.937980;0.938050;0.937880;0.937920;0
20181101 045500;0.937930;0.937930;0.937820;0.937830;0
20181101 045600;0.937810;0.937940;0.937750;0.937930;0
20181101 045700;0.937920;0.937920;0.937730;0.937880;0
20181101 045800;0.937890;0.937890;0.937710;0.937840;0
20181101 045900;0.937840;0.937940;0.937840;0.937860;0
20181101 050000;0.937860;0.938190;0.937850;0.938110;0
20181101 050100;0.938110;0.938320;0.938080;0.938290;0
20181101 050200;0.938290;0.938300;0.938100;0.938100;0
20181101 050300;0.938120;0.938220;0.938090;0.938210;0
20181101 050400;0.938210;0.938800;0.938210;0.938600;0
20181101 050500;0.938610;0.938800;0.938600;0.938700;0
20181101 050600;0.938710;0.938710;0.938540;0.938580;0
20181101 050700;0.938590;0.938610;0.938320;0.938330;0
20181101 050800;0.938340;0.938610;0.938280;0.938600;0
20181101 050900;0.938600;0.938690;0.938560;0.938690;0
20181101 051000;0.938690;0.938710;0.938580;0.938610;0
20181101 051100;0.938620;0.938740;0.938510;0.938710;0
20181101 051200;0.938720;0.938750;0.938670;0.938670;0
20181101 051300;0.938680;0.938710;0.938500;0.938500;0
20181101 051400;0.938520;0.938640;0.938220;0.938330;0
20181101 051500;0.938340;0.938520;0.938330;0.938520;0
20181101 051600;0.938530;0.938610;0.938400;0.938400;0
20181101 051700;0.938410;0.938440;0.938310;0.938400;0
20181101 051800;0.938400;0.938450;0.938230;0.938290;0
20181101 051900;0.938290;0.938320;0.938260;0.938270;0
20181101 052000;0.938260;0.938290;0.938160;0.938160;0
20181101 052100;0.938190;0.938240;0.938170;0.938170;0
20181101 052200;0.938170;0.938220;0.938140;0.938220;0
20181101 052300;0.938210;0.938260;0.938110;0.938190;0
20181101 052400;0.938180;0.938210;0.938130;0.938170;0
20181101 052500;0.938180;0.938200;0.938060;0.938150;0
20181101 052600;0.938150;0.938380;0.938140;0.938350;0
20181101 052700;0.938350;0.938390;0.938280;0.938370;0
20181101 052800;0.938370;0.938390;0.938280;0.938390;0
20181101 052900;0.938390;0.938390;0.938230;0.938370;0
20181101 053000;0.938370;0.938500;0.938370;0.938490;0
20181101 053100;0.938480;0.938480;0.938380;0.938450;0
20181101 053200;0.938440;0.938520;0.938400;0.938420;0
20181101 053300;0.938420;0.938450;0.938220;0.938240;0
20181101 053400;0.938260;0.938400;0.938260;0.938310;0
20181101 053500;0.938300;0.938310;0.938180;0.938250;0
20181101 053600;0.938260;0.938500;0.938260;0.938410;0
20181101 053700;0.938390;0.938650;0.938390;0.938590;0
20181101 053800;0.938600;0.938680;0.938590;0.938610;0
20181101 053900;0.938630;0.938690;0.938320;0.938410;0
20181101 054000;0.938400;0.938530;0.938380;0.938440;0
20181101 054100;0.938440;0.938650;0.938430;0.938640;0
20181101 054200;0.938650;0.938650;0.938460;0.938470;0
20181101 054300;0.938470;0.938470;0.938190;0.938210;0
20181101 054400;0.938190;0.938270;0.938100;0.938210;0
20181101 054500;0.938200;0.938340;0.938120;0.938320;0
20181101 054600;0.938320;0.938320;0.938160;0.938170;0
20181101 054700;0.938180;0.938350;0.938180;0.938350;0
20181101 054800;0.938340;0.938370;0.938150;0.938190;0
20181101 054900;0.938190;0.938340;0.938150;0.938340;0
20181101 055000;0.938340;0.938430;0.938330;0.938370;0
20181101 055100;0.938380;0.938380;0.938290;0.938370;0
20181101 055200;0.938380;0.938440;0.938330;0.938390;0
20181101 055300;0.938380;0.938430;0.938340;0.938420;0
20181101 055400;0.938420;0.938440;0.938340;0.938420;0
20181101 055500;0.938390;0.938510;0.938380;0.938510;0
20181101 055600;0.938520;0.938560;0.938300;0.938370;0
20181101 055700;0.938370;0.938500;0.938320;0.938320;0
20181101 055800;0.938310;0.938320;0.938240;0.938270;0
20181101 055900;0.938260;0.938330;0.938140;0.938330;0
20181101 060000;0.938300;0.938370;0.938140;0.938170;0
20181101 060100;0.938180;0.938360;0.938180;0.938360;0
20181101 060200;0.938350;0.938470;0.938300;0.938460;0
20181101 060300;0.938480;0.938480;0.938340;0.938370;0
20181101 060400;0.938360;0.938420;0.938270;0.938410;0
20181101 060500;0.938410;0.938490;0.938390;0.938480;0
20181101 060600;0.938470;0.938500;0.938390;0.938390;0
20181101 060700;0.938370;0.938460;0.938350;0.938350;0
20181101 060800;0.938370;0.938400;0.938230;0.938320;0
20181101 060900;0.938320;0.938550;0.938220;0.938420;0
20181101 061000;0.938440;0.938500;0.938220;0.938260;0
20181101 061100;0.938260;0.938270;0.938190;0.938230;0
20181101 061200;0.938220;0.938310;0.938170;0.938310;0
20181101 061300;0.938300;0.938430;0.938230;0.938230;0
20181101 061400;0.938220;0.938220;0.938130;0.938140;0
20181101 061500;0.938140;0.938200;0.937970;0.937970;0
20181101 061600;0.937970;0.938080;0.937840;0.937840;0
20181101 061700;0.937830;0.937990;0.937830;0.937990;0
20181101 061800;0.937970;0.938010;0.937850;0.937890;0
20181101 061900;0.937870;0.937990;0.937840;0.937860;0
20181101 062000;0.937880;0.937990;0.937820;0.937830;0
20181101 062100;0.937820;0.937880;0.937700;0.937700;0
20181101 062200;0.937700;0.937860;0.937690;0.937770;0
20181101 062300;0.937770;0.937870;0.937730;0.937850;0
20181101 062400;0.937840;0.937870;0.937680;0.937820;0
20181101 062500;0.937840;0.938010;0.937740;0.937920;0
20181101 062600;0.937930;0.937990;0.937850;0.937860;0
20181101 062700;0.937870;0.938470;0.937840;0.938380;0
20181101 062800;0.938340;0.938370;0.937810;0.937910;0
20181101 062900;0.937900;0.937910;0.937670;0.937770;0
20181101 063000;0.937760;0.937980;0.937760;0.937860;0
20181101 063100;0.937880;0.938130;0.937880;0.937980;0
20181101 063200;0.937970;0.938000;0.937940;0.937940;0
20181101 063300;0.937920;0.937950;0.937770;0.937920;0
20181101 063400;0.937900;0.937910;0.937810;0.937830;0
20181101 063500;0.937830;0.937900;0.937760;0.937780;0
20181101 063600;0.937780;0.937800;0.937700;0.937800;0
20181101 063700;0.937800;0.937810;0.937660;0.937680;0
20181101 063800;0.937730;0.937830;0.937730;0.937810;0
20181101 063900;0.937810;0.937920;0.937760;0.937900;0
20181101 064000;0.937920;0.938030;0.937880;0.937980;0
20181101 064100;0.937980;0.938160;0.937960;0.938160;0
20181101 064200;0.938160;0.938230;0.938130;0.938130;0
20181101 064300;0.938140;0.938210;0.938100;0.938210;0
20181101 064400;0.938210;0.938310;0.938120;0.938210;0
20181101 064500;0.938170;0.938340;0.938130;0.938340;0
20181101 064600;0.938340;0.938380;0.938230;0.938260;0
20181101 064700;0.938260;0.938390;0.938250;0.938390;0
20181101 064800;0.938390;0.938470;0.938380;0.938470;0
20181101 064900;0.938450;0.938460;0.938270;0.938320;0
20181101 065000;0.938320;0.938350;0.938250;0.938340;0
20181101 065100;0.938340;0.938430;0.938290;0.938430;0
20181101 065200;0.938440;0.938510;0.938370;0.938380;0
20181101 065300;0.938390;0.938400;0.938310;0.938350;0
20181101 065400;0.938370;0.938390;0.938290;0.938290;0
20181101 065500;0.938290;0.938340;0.938260;0.938320;0
20181101 065600;0.938340;0.938430;0.938340;0.938350;0
20181101 065700;0.938350;0.938410;0.938210;0.938250;0
20181101 065800;0.938250;0.938450;0.938210;0.938390;0
20181101 065900;0.938390;0.938490;0.938340;0.938490;0
20181101 070000;0.938510;0.938560;0.938250;0.938310;0
20181101 070100;0.938330;0.938500;0.938330;0.938480;0
20181101 070200;0.938490;0.938520;0.938320;0.938320;0
20181101 070300;0.938320;0.938360;0.938290;0.938290;0
